id;eventId;typeId;periodId;timeMin;timeSec;team_name;outcome;x;y;end_x;end_y;cross;ThrowIn;playerName;assist;keyPass;lb;shortName;shorter name;pro;x1_bin_xT;y1_bin_xT;x2_bin_xT;y2_bin_xT;start_zone_value_xT;end_zone_value_xT;xT
2847227553;29;Foul;1;2;10;3kq9cckrnlogidldtdie2fkbl;Successful;80.39999999999999;32.480000000000004;0.0;0.0;0;0;F. Mastantuono;;;0;F. Mastantuono;FM;0.0;0.0;4.0;0.0;2.0;0.00941056;0.0088799;-0.0005306600000000005
2847227559;18;Foul;1;2;10;27xvwccz8kpmqsefjv2b2sc0o;Unsuccessful;39.6;47.52;0.0;0.0;0;0;G. Kondogbia;;;0;G. Kondogbia;GK;0.0;;;;;;;
2847227699;30;Pass;1;2;22;3kq9cckrnlogidldtdie2fkbl;Unsuccessful;80.88000000000001;42.080000000000005;75.0;79.44;0;0;F. Mastantuono;;;Long ball;F. Mastantuono;FM;0.0;;;;;;;
2847227717;19;Ball recovery;1;2;24;27xvwccz8kpmqsefjv2b2sc0o;Successful;47.52;2.9600000000000004;0.0;0.0;0;0;M. Greenwood;;;0;M. Greenwood;MG;0.0;;;;;;;
2847227779;20;Pass;1;2;30;27xvwccz8kpmqsefjv2b2sc0o;Unsuccessful;90.24;2.4800000000000004;93.48;20.16;0;0;M. Greenwood;;;0;M. Greenwood;MG;0.0;8.0;4.0;8.0;4.0;0.02385149;0.02385149;0.0
2847227791;31;Interception;1;2;31;3kq9cckrnlogidldtdie2fkbl;Successful;25.92;59.84;0.0;0.0;0;0;Álvaro Carreras;;;0;Á. Carreras;ÁC;0.0;;;;;;;
2847227837;32;Take On;1;2;34;3kq9cckrnlogidldtdie2fkbl;Unsuccessful;30.599999999999998;46.160000000000004;0.0;0.0;0;0;A. Tchouaméni;;;0;A. Tchouaméni;AT;0.0;;;;;;;
2847227853;21;Tackle;1;2;34;27xvwccz8kpmqsefjv2b2sc0o;Unsuccessful;89.39999999999999;33.839999999999996;0.0;0.0;0;0;P. Højbjerg;;;0;P. Højbjerg;PH;0.0;8.0;5.0;7.0;5.0;0.0241224;0.01935132;-0.004771079999999997
2847227869;33;Ball recovery;1;2;36;3kq9cckrnlogidldtdie2fkbl;Successful;28.2;44.96000000000001;0.0;0.0;0;0;Álvaro Carreras;;;0;Á. Carreras;ÁC;0.0;;;;;;;
2847227887;34;Pass;1;2;36;3kq9cckrnlogidldtdie2fkbl;Successful;28.08;40.080000000000005;7.8;38.64;0;0;Álvaro Carreras;;;0;Á. Carreras;ÁC;-20.288207308638448;2.0;4.0;0.0;3.0;0.01016549;0.00941056;-0.0007549299999999991
2847227953;35;Pass;1;2;38;3kq9cckrnlogidldtdie2fkbl;Successful;8.04;37.28;11.639999999999999;5.84;0;0;T. Courtois;;;0;T. Courtois;TC;-1.6238435299732288;0.0;3.0;0.0;0.0;0.00941056;0.00638303;-0.0030275300000000005
2847228003;36;Pass;1;2;41;3kq9cckrnlogidldtdie2fkbl;Successful;11.639999999999999;5.84;26.16;3.2;0;0;T. Alexander-Arnold;;;0;T. Alexander-Arnold;TA;12.819133021176725;1.0;0.0;2.0;0.0;0.00779616;0.00844854;0.0006523799999999993
2847228007;37;Pass;1;2;43;3kq9cckrnlogidldtdie2fkbl;Unsuccessful;28.2;2.32;29.4;4.4799999999999995;0;0;F. Mastantuono;;;0;F. Mastantuono;FM;0.0;;;;;;;
2847228025;22;Ball touch;1;2;44;27xvwccz8kpmqsefjv2b2sc0o;Successful;86.16;76.08;0.0;0.0;0;0;Emerson;;;0;Emerson;EM;0.0;7.0;5.0;7.0;4.0;0.01935132;0.0199707;0.0006193799999999992
2847228065;25;Ball recovery;1;2;44;27xvwccz8kpmqsefjv2b2sc0o;Successful;93.36;77.52000000000001;0.0;0.0;0;0;T. Weah;;;0;T. Weah;TW;0.0;6.0;4.0;6.0;2.0;0.01689528;0.01685596;-3.931999999999894e-05
2847228045;23;Pass;1;2;45;27xvwccz8kpmqsefjv2b2sc0o;Unsuccessful;93.11999999999999;77.52000000000001;93.71999999999998;63.28;0;0;T. Weah;;;0;T. Weah;TW;0.0;7.0;4.0;8.0;4.0;0.0199707;0.02385149;0.0038807899999999985
2847228029;38;Clearance;1;2;45;3kq9cckrnlogidldtdie2fkbl;Successful;25.679999999999996;17.2;30.599999999999998;19.52;0;0;Álvaro Carreras;;;0;Á. Carreras;ÁC;0.0;;;;;;;
2847228051;24;Deleted event;1;2;47;27xvwccz8kpmqsefjv2b2sc0o;Successful;0.0;0.0;0.0;0.0;0;0;Emerson;;;0;Emerson;EM;0.0;8.0;4.0;7.0;4.0;0.02385149;0.0199707;-0.0038807899999999985
2847228109;26;Pass;1;2;48;27xvwccz8kpmqsefjv2b2sc0o;Successful;84.48;54.800000000000004;95.52;52.96000000000001;0;0;P. Højbjerg;;;0;P. Højbjerg;PH;10.781046951193254;7.0;2.0;8.0;0.0;0.01935132;0.02122129;0.0018699699999999986
2847228117;27;Offside Pass;1;2;49;27xvwccz8kpmqsefjv2b2sc0o;Successful;96.24;51.68;106.2;55.120000000000005;0;0;M. O'Riley;;;0;M. O'Riley;MO;0.0;7.0;0.0;7.0;1.0;0.0174506;0.01870347;0.0012528699999999997
2847228869;40;Offside provoked;1;2;49;3kq9cckrnlogidldtdie2fkbl;Successful;18.0;37.760000000000005;0.0;0.0;0;0;Dean Huijsen;;;0;D. Huijsen;DH;0.0;;;;;;;
2847228239;28;Deleted event;1;2;50;27xvwccz8kpmqsefjv2b2sc0o;Successful;0.0;0.0;0.0;0.0;0;0;M. O'Riley;;;0;M. O'Riley;MO;0.0;7.0;1.0;7.0;3.0;0.01870347;0.0199707;0.0012672300000000011
2847228163;39;Deleted event;1;2;51;3kq9cckrnlogidldtdie2fkbl;Successful;0.0;0.0;0.0;0.0;0;0;Álvaro Carreras;;;0;Á. Carreras;ÁC;0.0;3.0;2.0;2.0;1.0;0.01110462;0.00942382;-0.0016808000000000014
2847229819;30;Start delay;1;3;0;27xvwccz8kpmqsefjv2b2sc0o;Successful;0.0;0.0;0.0;0.0;0;0;;;;0;;;0.0;;;;;;;
2847228947;41;Start delay;1;3;0;3kq9cckrnlogidldtdie2fkbl;Successful;0.0;0.0;0.0;0.0;0;0;;;;0;;;0.0;;;;;;;
2847229925;31;End delay;1;4;43;27xvwccz8kpmqsefjv2b2sc0o;Successful;0.0;0.0;0.0;0.0;0;0;;;;0;;;0.0;;;;;;;
2847229911;42;End delay;1;4;43;3kq9cckrnlogidldtdie2fkbl;Successful;0.0;0.0;0.0;0.0;0;0;;;;0;;;0.0;;;;;;;
2847230023;43;Player off;1;4;48;3kq9cckrnlogidldtdie2fkbl;Successful;0.0;0.0;0.0;0.0;0;0;T. Alexander-Arnold;;;0;T. Alexander-Arnold;TA;0.0;;;;;;;
2847230027;44;Player on;1;4;48;3kq9cckrnlogidldtdie2fkbl;Successful;0.0;0.0;0.0;0.0;0;0;Dani Carvajal;;;0;D. Carvajal;DC;0.0;;;;;;;
2847230385;46;Formation change;1;4;49;3kq9cckrnlogidldtdie2fkbl;Successful;0.0;0.0;0.0;0.0;0;0;;;;0;;;0.0;;;;;;;
2847230313;45;Pass;1;5;1;3kq9cckrnlogidldtdie2fkbl;Unsuccessful;17.28;26.0;95.88000000000001;33.839999999999996;0;0;T. Courtois;;;Long ball;T. Courtois;TC;0.0;5.0;5.0;6.0;6.0;0.01429128;0.01611813;0.0018268500000000014
2847230325;32;Clearance;1;5;5;27xvwccz8kpmqsefjv2b2sc0o;Successful;27.84;42.24;26.639999999999997;62.08;0;0;L. Balerdi;;;0;L. Balerdi;LB;0.0;;;;;;;
2847230353;33;Ball recovery;1;5;7;27xvwccz8kpmqsefjv2b2sc0o;Successful;25.8;67.60000000000001;0.0;0.0;0;0;F. Medina;;;0;F. Medina;FM;0.0;;;;;;;
2847230381;34;Pass;1;5;8;27xvwccz8kpmqsefjv2b2sc0o;Successful;26.04;67.76;33.48;74.64;0;0;F. Medina;;;0;F. Medina;FM;4.77821166744441;2.0;4.0;0.0;3.0;0.01016549;0.00941056;-0.0007549299999999991
2847230415;35;Pass;1;5;9;27xvwccz8kpmqsefjv2b2sc0o;Successful;33.48;74.72000000000001;17.639999999999997;71.28;0;0;Emerson;;;0;Emerson;EM;-13.806197078007699;0.0;3.0;0.0;0.0;0.00941056;0.00638303;-0.0030275300000000005
2847230425;36;Pass;1;5;11;27xvwccz8kpmqsefjv2b2sc0o;Unsuccessful;17.28;71.44;19.2;71.44;0;0;F. Medina;;;0;F. Medina;FM;0.0;1.0;0.0;2.0;0.0;0.00779616;0.00844854;0.0006523799999999993
2847230455;47;74;1;5;11;3kq9cckrnlogidldtdie2fkbl;Successful;104.75999999999999;10.240000000000002;0.0;0.0;0;0;F. Mastantuono;;;0;F. Mastantuono;FM;0.0;6.0;6.0;6.0;7.0;0.01611813;0.01473596;-0.001382170000000002
2847230439;37;Ball touch;1;5;11;27xvwccz8kpmqsefjv2b2sc0o;Successful;13.319999999999999;69.52000000000001;0.0;0.0;0;0;F. Medina;;;0;F. Medina;FM;0.0;;;;;;;
2847231955;44;Error;1;5;11;27xvwccz8kpmqsefjv2b2sc0o;Successful;16.08;70.4;0.0;0.0;0;0;F. Medina;;;0;F. Medina;FM;0.0;;;;;;;
